CATEGORY,TYPE,DETAIL,REQUEST TYPE,0
Trash / Recycling,Bulky Pick Up,Address Validation,Trash / Recycling-Bulky Pick Up -Address Validation,327
Trash / Recycling,Bulky Pick Up,Missed Pick Up,Trash / Recycling-Bulky Pick Up -Missed Pick Up,2047
Trash / Recycling,Dumping,Alley - Public Works - District 1,Trash / Recycling - Dumping - Alley - D1,1
Trash / Recycling,Dumping,Alley - Public Works - District 2,Trash / Recycling - Dumping - Alley - D2,333
Trash / Recycling,Dumping,Alley - Public Works - District 3,Trash / Recycling - Dumping - Alley - D3,30
Trash / Recycling,Dumping,Camera Request,Trash / Recycling-Dumping-Camera Request,202
Trash / Recycling,Dumping,Landlord Set Out,Trash / Recycling-Dumping-Landlord Set Out,2
Trash / Recycling,Dumping,Park - Central,Trash / Recycling-Dumping-Park - Central,108
Trash / Recycling,Dumping,Park - North,Trash / Recycling-Dumping-Park - North,27
Trash / Recycling,Dumping,Park - South,Trash / Recycling-Dumping-Park - South,49
Trash / Recycling,Dumping,Private Property,Trash / Recycling-Dumping-Private Property,648
Trash / Recycling,Dumping,Right of Way Central,Trash / Recycling-Dumping-ROW Central,1828
Trash / Recycling,Dumping,Right of Way LB Central,Trash / Recycling-Dumping-ROW Land Bank Central,352
Trash / Recycling,Dumping,Right of Way LB North,Trash / Recycling-Dumping-ROW Land Bank North,3
Trash / Recycling,Dumping,Right of Way LB South,Trash / Recycling-Dumping-ROW Land Bank South,51
Trash / Recycling,Dumping,Right of Way North,Trash / Recycling-Dumping-ROW North,300
Trash / Recycling,Dumping,Right of Way South,Trash / Recycling-Dumping-ROW South,621
Trash / Recycling,Dumping,Right-Of-Way,Trash / Recycling-Dumping-Right of Way,8
Trash / Recycling,Dumping,Solid Waste Referral,Trash / Recycling-Dumping-Solid Waste Referral,3590
Trash / Recycling,Dumpsters,Dumpster Request,Trash / Recycling-Dumpsters-Dumpster Request,7
Trash / Recycling,Dumpsters,Private Property,Property Violations,44
Trash / Recycling,Dumpsters,Street / Alley / ROW,Trash / Recycling-Dumpsters-Street / Alley / ROW,39
Trash / Recycling,Early Set Out,Central,Trash / Recycling-Early Set Out-Central,108
Trash / Recycling,Early Set Out,North,Trash / Recycling-Early Set Out-North,20
Trash / Recycling,Early Set Out,South,Trash / Recycling-Early Set Out-South,46
